,artist,title,albumart,time,channel
172,Bonnie x Clyde,Bass Jam,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493488061.1975546,BPM
173,Almand,Don't Manipulate (Slomo Remix),http://www.siriusxm.com/albumart/Live/1730/almand_58F719CE_m.jpg,1493488241.133248,BPM
174,Cl̩ment Leroux & Harold van Lennep,Secrets f. Axel Ehnstr̦m,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493488421.122539,BPM
175,Nervo,In Your Arms,http://www.siriusxm.com/albumart/Live/1900/nervo_58C79CFF_m.jpg,1493494157.2707741,BPM
176,Grandtheft/Delaney Jane,Easy Go,http://www.siriusxm.com/albumart/Live/1930/grandtheftde_5903DF81_m.jpg,1493494317.8075974,BPM
177,@morganpage,#InTheAir @sxmElectro,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493700327.9963262,BPM
178,SiriusXM Chill,Ch53 Downtempo/Deep House,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493701640.7683866,BPM
179,Kungs/Ephemerals,I Feel So Bad,http://www.siriusxm.com/albumart/Live/0500/kungsephemer_58E2DF4C_m.jpg,1493701700.7724404,BPM
180,Galantis,Rich Boy-Zack Martino Remix,http://www.siriusxm.com/albumart/Live/0500/galantis_58E44EE2_m.jpg,1493701880.7163944,BPM
181,Axwell/\\Ingrosso/Kid Ink,I Love You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493702060.7738853,BPM
182,Nicky Romero/Nervo,Like Home,http://www.siriusxm.com/albumart/Live/0500/nickyromeron_58C6F09A_m.jpg,1493702240.7618494,BPM
183,Slushii\\Marshmello,Twinbow,http://www.siriusxm.com/albumart/Live/0500/slushiimarsh_58CC093B_m.jpg,1493702480.7563279,BPM
184,The Chainsmokers/Chris Martin,Something Just Like This-Dirty Nano,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493702660.777459,BPM
185,Morgan Page feat. Lissie,Don't Give Up,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493702900.720603,BPM
186,Cl̩ment Leroux & Harold van Lennep,Secrets f. Axel Ehnstr̦m,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493703080.742868,BPM
187,deadmau5/Greta Svabo Bech,Raise Your Weapon,http://www.siriusxm.com/albumart/Live/0530/deadmau5gret_58C7B3E8_m.jpg,1493703320.7216942,BPM
